ssd,current_spot_price
2015-01-02,1822.0
2015-01-05,1822.0
2015-01-06,1772.0
2015-01-07,1762.0
2015-01-08,1776.0
2015-01-09,1798.0
2015-01-12,1779.0
2015-01-13,1766.0
2015-01-14,1768.0
2015-01-15,1782.0
2015-01-16,1798.0
2015-01-19,1826.0
2015-01-20,1830.0
2015-01-21,1831.0
2015-01-22,1867.0
2015-01-23,1830.0
2015-01-26,1818.0
2015-01-27,1847.0
2015-01-28,1850.0
2015-01-29,1822.0
2015-01-30,1838.0
2015-02-02,1852.0
2015-02-03,1870.0
2015-02-04,1862.0
2015-02-05,1849.0
2015-02-06,1872.0
2015-02-09,1855.0
2015-02-10,1843.0
2015-02-11,1812.0
2015-02-12,1818.0
2015-02-13,1832.0
2015-02-16,1814.0
2015-02-17,1800.0
2015-02-18,1797.0
2015-02-19,1802.0
2015-02-20,1796.0
2015-02-23,1772.0
2015-02-24,1792.0
2015-02-25,1784.0
2015-02-26,1798.0
2015-02-27,1794.0
2015-03-02,1797.0
2015-03-03,1784.0
2015-03-04,1787.0
2015-03-05,1788.0
2015-03-06,1785.0
2015-03-09,1760.0
2015-03-10,1750.0
2015-03-11,1754.0
2015-03-12,1742.0
2015-03-13,1744.0
2015-03-16,1761.0
2015-03-17,1770.0
2015-03-18,1772.0
2015-03-19,1782.0
2015-03-20,1763.0
2015-03-23,1787.0
2015-03-24,1786.0
2015-03-25,1764.0
2015-03-26,1784.0
2015-03-27,1772.0
2015-03-30,1776.0
2015-03-31,1789.0
2015-04-01,1766.0
2015-04-02,1770.0
2015-04-03,1775.0
2015-04-06,1780.0
2015-04-07,1785.0
2015-04-08,1775.0
2015-04-09,1774.0
2015-04-10,1773.0
2015-04-13,1782.0
2015-04-14,1770.0
2015-04-15,1811.0
2015-04-16,1857.0
2015-04-17,1846.0
2015-04-20,1858.0
2015-04-21,1826.0
2015-04-22,1818.0
2015-04-23,1806.0
2015-04-24,1830.0
2015-04-27,1824.0
2015-04-28,1868.0
2015-04-29,1890.0
2015-04-30,1903.0
2015-05-01,1919.0
2015-05-04,1914.5
2015-05-05,1910.0
2015-05-06,1916.0
2015-05-07,1870.0
2015-05-08,1864.0
2015-05-11,1852.0
2015-05-12,1855.0
2015-05-13,1860.0
2015-05-14,1846.0
2015-05-15,1813.0
2015-05-18,1796.0
2015-05-19,1750.0
2015-05-20,1749.0
2015-05-21,1736.0
2015-05-22,1726.0
2015-05-25,1718.0
2015-05-26,1710.0
2015-05-27,1700.0
2015-05-28,1720.0
2015-05-29,1706.0
2015-06-01,1692.0
2015-06-02,1712.0
2015-06-03,1716.0
2015-06-04,1698.0
2015-06-05,1694.0
2015-06-08,1695.0
2015-06-09,1723.0
2015-06-10,1727.0
2015-06-11,1702.0
2015-06-12,1702.0
2015-06-15,1666.0
2015-06-16,1661.0
2015-06-17,1675.0
2015-06-18,1680.0
2015-06-19,1650.0
2015-06-22,1650.0
2015-06-23,1680.0
2015-06-24,1690.0
2015-06-25,1671.0
2015-06-26,1668.0
2015-06-29,1642.0
2015-06-30,1646.0
2015-07-01,1666.0
2015-07-02,1693.0
2015-07-03,1685.0
2015-07-06,1644.0
2015-07-07,1645.0
2015-07-08,1620.0
2015-07-09,1649.0
2015-07-10,1652.0
2015-07-13,1659.0
2015-07-14,1653.0
2015-07-15,1674.0
2015-07-16,1664.0
2015-07-17,1663.0
2015-07-20,1636.0
2015-07-21,1630.0
2015-07-22,1610.0
2015-07-23,1604.0
2015-07-24,1594.0
2015-07-27,1600.0
2015-07-28,1609.0
2015-07-29,1619.0
2015-07-30,1608.0
2015-07-31,1594.0
2015-08-03,1564.0
2015-08-04,1578.0
2015-08-05,1570.0
2015-08-06,1553.0
2015-08-07,1556.0
2015-08-10,1553.0
2015-08-11,1547.0
2015-08-12,1547.0
2015-08-13,1539.0
2015-08-14,1540.0
2015-08-17,1524.0
2015-08-18,1532.0
2015-08-19,1522.0
2015-08-20,1544.0
2015-08-21,1524.0
2015-08-24,1486.0
2015-08-25,1526.0
2015-08-26,1514.0
2015-08-27,1528.0
2015-08-28,1550.0
2015-08-31,1564.0
2015-09-01,1578.0
2015-09-02,1570.0
2015-09-03,1586.0
2015-09-04,1602.0
2015-09-07,1588.0
2015-09-08,1594.0
2015-09-09,1628.0
2015-09-10,1607.0
2015-09-11,1614.0
2015-09-14,1599.0
2015-09-15,1600.0
2015-09-16,1598.0
2015-09-17,1607.0
2015-09-18,1624.0
2015-09-21,1612.0
2015-09-22,1578.0
2015-09-23,1572.0
2015-09-24,1560.0
2015-09-25,1566.0
2015-09-28,1537.0
2015-09-29,1549.0
2015-09-30,1562.0
2015-10-01,1578.0
2015-10-02,1545.0
2015-10-05,1547.0
2015-10-06,1546.0
2015-10-07,1567.0
2015-10-08,1552.0
2015-10-09,1607.0
2015-10-12,1608.0
2015-10-13,1560.0
2015-10-14,1569.0
2015-10-15,1568.0
2015-10-16,1542.0
2015-10-19,1536.0
2015-10-20,1506.0
2015-10-21,1491.0
2015-10-22,1480.0
2015-10-23,1480.0
2015-10-26,1468.0
2015-10-27,1454.0
2015-10-28,1434.0
2015-10-29,1440.0
2015-10-30,1448.0
2015-11-02,1452.0
2015-11-03,1470.0
2015-11-04,1472.0
2015-11-05,1473.0
2015-11-06,1492.0
2015-11-09,1506.0
2015-11-10,1486.0
2015-11-11,1494.0
2015-11-12,1484.0
2015-11-13,1476.0
2015-11-16,1458.0
2015-11-17,1463.0
2015-11-18,1454.0
2015-11-19,1446.0
2015-11-20,1475.0
2015-11-23,1424.0
2015-11-24,1433.0
2015-11-25,1428.0
2015-11-26,1470.0
2015-11-27,1480.0
2015-11-30,1442.0
2015-12-01,1442.0
2015-12-02,1460.0
2015-12-03,1462.0
2015-12-04,1503.0
2015-12-07,1498.0
2015-12-08,1462.0
2015-12-09,1494.0
2015-12-10,1479.0
2015-12-11,1500.0
2015-12-14,1476.0
2015-12-15,1477.0
2015-12-16,1478.0
2015-12-17,1482.0
2015-12-18,1508.0
2015-12-21,1510.0
2015-12-22,1518.0
2015-12-23,1539.0
2015-12-24,1541.0
2015-12-25,1539.0
